DSA,DBMS,OS,CN,Mathmetics,Aptitute,Comm,Problem Solving,Creative,Hackathons,Skill 1,Skill 2,Profile
49,22,41,26,7,28,61,1,8,3,Javascript,Photoshop,UI/UX
39,46,45,47,3,35,65,4,10,4,HTML/CSS,GitHub,UI/UX
28,32,45,35,10,23,85,3,10,3,Photoshop,Figma,UI/UX
52,38,33,38,19,27,62,1,9,3,Photoshop,Figma,UI/UX
23,31,30,38,10,13,72,4,8,5,HTML/CSS,Figma,UI/UX
50,45,58,38,4,40,80,4,9,4,Javascript,Figma,UI/UX
40,36,44,44,8,18,81,3,8,3,Photoshop,Figma,UI/UX
25,20,41,22,15,33,56,4,9,3,Photoshop,GitHub,UI/UX
38,38,35,31,20,39,81,3,7,5,GitHub,Photoshop,UI/UX
44,23,49,22,18,35,89,2,9,4,GitHub,HTML/CSS,UI/UX
49,28,31,49,11,21,89,2,10,4,GitHub,Figma,UI/UX
26,32,49,41,9,17,79,4,9,5,Photoshop,Figma,UI/UX
25,27,42,46,20,26,67,1,10,5,GitHub,Figma,UI/UX
41,27,33,42,24,19,78,4,9,3,Photoshop,HTML/CSS,UI/UX
46,20,48,40,12,40,55,1,10,3,Figma,Photoshop,UI/UX
33,37,35,29,4,19,55,3,9,3,HTML/CSS,Figma,UI/UX
22,23,60,49,3,18,87,1,10,3,HTML/CSS,GitHub,UI/UX
36,36,57,35,26,21,88,2,10,4,Photoshop,Javascript,UI/UX
28,32,57,21,7,32,76,1,8,4,Javascript,Photoshop,UI/UX
22,36,30,33,18,23,74,4,9,5,Photoshop,Figma,UI/UX
48,20,59,23,11,38,67,1,7,3,GitHub,Photoshop,UI/UX
25,39,38,44,31,21,62,4,7,4,GitHub,Javascript,UI/UX
48,24,55,22,6,30,76,4,8,3,Javascript,Figma,UI/UX
25,35,49,48,0,29,77,3,8,3,Photoshop,GitHub,UI/UX
43,49,38,49,2,33,55,3,8,5,Figma,Photoshop,UI/UX
23,48,32,28,23,38,73,1,10,5,Photoshop,Figma,UI/UX
31,22,30,49,4,23,62,2,9,4,GitHub,Javascript,UI/UX
39,39,58,43,31,21,75,4,8,3,GitHub,HTML/CSS,UI/UX
29,26,33,40,26,25,58,3,9,5,HTML/CSS,Figma,UI/UX
33,38,46,32,29,16,74,2,10,4,Photoshop,Javascript,UI/UX
25,33,55,40,4,31,82,1,7,4,Photoshop,GitHub,UI/UX
32,31,38,22,15,29,67,2,9,3,Photoshop,HTML/CSS,UI/UX
43,25,53,21,4,38,64,1,7,3,Photoshop,Javascript,UI/UX
45,38,37,22,4,38,70,1,10,5,Javascript,GitHub,UI/UX
43,27,58,39,16,39,86,2,8,3,Figma,Photoshop,UI/UX
31,50,34,26,31,40,81,2,9,3,GitHub,HTML/CSS,UI/UX
29,24,42,39,33,35,89,4,10,3,Javascript,GitHub,UI/UX
28,32,34,42,9,28,67,4,10,4,HTML/CSS,Photoshop,UI/UX
33,28,43,31,12,28,85,4,10,5,Figma,GitHub,UI/UX
