Name,School,Difficulty Level,Rating,Link,About
Data Engineer,School of Data Science,Intermediate,4.6,https://www.udacity.com//course/data-engineer-nanodegree--nd027,"Data Engineering is the foundation for the new world of Big Data. Enroll now to build production-ready data infrastructure, an essential skill for advancing your data career."
Data Scientist,School of Data Science,Advanced,4.7,https://www.udacity.com//course/data-scientist-nanodegree--nd025,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects."
Data Analyst,School of Data Science,Intermediate,4.6,https://www.udacity.com//course/data-analyst-nanodegree--nd002,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions."
C++,School of Autonomous Systems,Intermediate,4.6,https://www.udacity.com//course/c-plus-plus-nanodegree--nd213,Get hands-on experience by building five real-world projects.
Product Manager,School of Product Management,Beginner,4.7,https://www.udacity.com//course/product-manager-nanodegree--nd036,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market."
Business Analytics,School of Business,Beginner,4.7,https://www.udacity.com//course/business-analytics-nanodegree--nd098,"Gain foundational data skills applicable to any industry. Collect and analyze data, model business scenarios, and communicate your findings with SQL, Excel, and Tableau."
Introduction to Programming,School of Programming & Development,Beginner,4.7,https://www.udacity.com//course/intro-to-programming-nanodegree--nd000,"Udacity's Intro to Programming is your first step towards careers in Web and App Development, Machine Learning, Data Science, AI, and more! This program is perfect for Beginners."
Digital Marketing,School of Business,Beginner,4.7,https://www.udacity.com//course/digital-marketing-nanodegree--nd018,Gain real-world experience running live campaigns as you learn from top experts in the field. Launch your career with a 360-degree understanding of digital marketing.
Deep Learning,School of Artificial Intelligence,Intermediate,4.7,https://www.udacity.com//course/deep-learning-nanodegree--nd101,Deep learning is driving advances in artificial intelligence that are changing our world. Enroll now to build and apply your own deep neural networks to produce amazing solutions to important challenges.
Blockchain Developer,School of Programming & Development,Intermediate,4.5,https://www.udacity.com//course/blockchain-developer-nanodegree--nd1309,"Demand for blockchain developers is skyrocketing. In this program, you'll work with the Bitcoin and Ethereum protocols, build projects for real-world application, and gain the essential skills for a career in this dynamic space."
UX Designer,School of Product Management,Beginner,4.7,https://www.udacity.com//course/ux-designer-nanodegree--nd578,Design impactful user experiences for products in today�s digital world.
Artificial Intelligence for Trading,School of Artificial Intelligence,Intermediate,4.6,https://www.udacity.com//course/ai-for-trading--nd880,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio."
Machine Learning Engineer,School of Artificial Intelligence,Intermediate,4.6,https://www.udacity.com//course/machine-learning-engineer-nanodegree--nd009t,"Become a machine learning engineer and apply predictive models to massive data sets in fields like education, finance, healthcare or robotics."
AI Programming with Python,School of Artificial Intelligence,Beginner,4.6,https://www.udacity.com//course/ai-programming-python-nanodegree--nd089,"Learn Python, NumPy, Pandas, Matplotlib, PyTorch, Calculus, and Linear Algebra�the foundations for building your own neural network."
Front End Web Developer,School of Programming & Development,Intermediate,4.6,https://www.udacity.com//course/front-end-web-developer-nanodegree--nd0011,Learn how to build high quality websites and dynamic applications to create stunning user experiences for the web.
Full Stack Web Developer,School of Programming & Development,Intermediate,4.5,https://www.udacity.com//course/full-stack-web-developer-nanodegree--nd0044,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day."
SQL,School of Data Science,Beginner,4.6,https://www.udacity.com//course/learn-sql--nd072,"Master SQL, the core language for Big Data analysis, and enable insight-driven decision-making and strategy for your business."
Machine Learning DevOps Engineer,School of Artificial Intelligence,Advanced,None,https://www.udacity.com//course/machine-learning-dev-ops-engineer-nanodegree--nd0821,"In this program,you will build theDevOps skills required to automate the various aspects and stages of machine learning model building and monitoring."
IntermediatePython,School of Programming & Development,Intermediate,4.4,https://www.udacity.com//course/Intermediate-python-nanodegree--nd303,"The IntermediatePython Nanodegree program teaches Intermediate-level skills for programming with the Python language.  It is ideal for developers interested in using Python to build more complex algorithms with greater capabilities in preparation for a variety of different roles spanning fields like data science, AI, and software engineering."
React,School of Programming & Development,Intermediate,4.6,https://www.udacity.com//course/react-nanodegree--nd019,React is completely transforming Front-End Development. Master this powerful UI library from Facebook with Udacity.
Java Developer,School of Programming & Development,Intermediate,4.4,https://www.udacity.com//course/java-developer-nanodegree--nd035,Learn back-end development with the Java programming language
AI for Healthcare,School of Artificial Intelligence,Advanced,4.6,https://www.udacity.com//course/ai-for-healthcare-nanodegree--nd320,"Be at the forefront of the revolution of AI in Healthcare, and transform patient outcomes. Enable enhanced medical decision-making powered by machine learning to build the treatments of the future."
Data Product Manager,School of Product Management,Intermediate,4.4,https://www.udacity.com//course/data-product-manager-nanodegree--nd030,"Hone specialized skills in Data Product Management by learning how to apply data science best practices to build data-driven products backed by scalable data strategies to deliver the right experience to the right users, at the right time."
Full Stack JavaScript Developer,School of Programming & Development,Intermediate,None,https://www.udacity.com//course/full-stack-javascript-developer-nanodegree--nd0067,"You�ll master the skills necessary to become a successful full stack developer. Learn how to build UI and UX, create APIs and server side business logic and develop the persistence layer to store, process and retrieve data."
Data Structures and Algorithms,School of Programming & Development,Intermediate,4.7,https://www.udacity.com//course/data-structures-and-algorithms-nanodegree--nd256,Get hands-on practice with over 100 data structures and algorithm exercises and technical mentor support when needed to help prepare you for interviews and on-the-job scenarios.
Java Programming,School of Programming & Development,Beginner,None,https://www.udacity.com//course/java-programming-nanodegree--nd079,"This Nanodegree program is intended to elevate your Java abilities and teach you the fundamental skills used by Java developers to design, code, test and deploy cutting-edge Java software. It is ideal for programming Beginners with little or no Java experience who want to set themselves up for success as a professional Java developer and deploy functional Java-based applications of their own creation."
Android Kotlin Developer,School of Programming & Development,Intermediate,4.7,https://www.udacity.com//course/android-kotlin-developer-nanodegree--nd940,"Master Android app development with Kotlin, a modern programming language that enables developers to be more productive."
AI Product Manager,School of Product Management,Beginner,4.3,https://www.udacity.com//course/ai-product-manager-nanodegree--nd088,Learn to develop AI products that deliver business value. Build skills that help you compete in the new AI-powered world.
Deep Reinforcement Learning,School of Artificial Intelligence,Advanced,4.7,https://www.udacity.com//course/deep-reinforcement-learning-nanodegree--nd893,Master the deep reinforcement learning skills that are powering amazing advances in AI. Then start applying these to applications like video games and robotics.
Cloud DevOps Engineer,School of Cloud Computing,Intermediate,4.6,https://www.udacity.com//course/cloud-dev-ops-nanodegree--nd9991,"Companies are looking for talented DevOps engineers to remain competitive in this agile world. Enroll now to operationalize infrastructure at scale and deliver applications and services at high velocity, an essential skill for advancing your career."
Computer Vision,School of Artificial Intelligence,Advanced,4.7,https://www.udacity.com//course/computer-vision-nanodegree--nd891,"Learn the computer vision skills behind advances in robotics and automation. Write programs to analyze images, implement feature extraction, and recognize objects using deep learning models."
Robotics Software Engineer,School of Autonomous Systems,Advanced,4.5,https://www.udacity.com//course/robotics-software-engineer--nd209,"Build five hands-on projects to acquire core robotics software engineering skills: ROS, Gazebo, Localization, Mapping, SLAM, Navigation, and Path Planning."
Natural Language Processing,School of Artificial Intelligence,Advanced,4.5,https://www.udacity.com//course/natural-language-processing-nanodegree--nd892,"Learn the skills to get computers to understand, process, and respond to human language. Build models on real data, and get hands-on experience with sentiment analysis, machine translation, and more."
Data Architect,School of Data Science,Advanced,4.4,https://www.udacity.com//course/data-architect-nanodegree--nd038,"Learn how to plan, design and implement enterprise data infrastructure solutions and create the blueprints for your organization�s data success."
