course_id,Name,University,level,link,about,course_description
1,How to Learn Online,edX,advanced,https://www.edx.org/course/how-to-learn-online,Learn essential strategies for successful online learning,"Designed for those who are new to elearning, this course will prepare you with strategies to be a successful online learner.The edX learning design team has curated some of the most powerful, science-backed techniques which you can start using right away and on any learning platform.The Verified Certificate for this course is free. Use the following coupon code before September 1, 2020 to upgrade at no cost to you: Y5ZADM5NU2AN5JU7This course will help you answer the following questions: Education & Teacher Training"
2,Programming for Everybody (Getting Started with Python),The University of Michigan,intermediate,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,"This course is a ""no prerequisite"" introduction to Python Programming. You will learn about variables, conditional execution, repeated execution and how we use functions. The homework is done in a web browser so you can do all of the programming assignments on a phone or public computer.","This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python. The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook ""Python for Everybody"". Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3. Computer Science"
3,CS50's Introduction to Computer Science,Harvard University,beginner,https://www.edx.org/course/cs50s-introduction-to-computer-science,An introduction to the intellectual enterprises of computer science and the art of programming.,"This is CS50x , Harvard University's introduction to the intellectual enterprises of computer science and the art of programming for majors and non-majors alike, with or without prior programming experience. An entry-level course taught by David J. Malan, CS50x teaches students how to think algorithmically and solve problems efficiently. Topics include abstraction, algorithms, data structures, encapsulation, resource management, security, software engineering, and web development. Languages include C, Python, SQL, and JavaScript plus CSS and HTML. Problem sets inspired by real-world domains of biology, cryptography, finance, forensics, and gaming. The on-campus version of CS50x , CS50, is Harvard's largest course. Students who earn a satisfactory score on 9 problem sets (i.e., programming assignments) and a final project are eligible for a certificate. This is a self-paced course–you may take CS50x on your own schedule.HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form. Computer Science"
4,The Analytics Edge,Massachusetts Institute of Technology,advanced,https://www.edx.org/course/the-analytics-edge,"Through inspiring examples and stories, discover the power of data and use analytics to provide an edge to your career and your life.","In the last decade, the amount of data available to organizations has reached unprecedented levels. Data is transforming business, social interactions, and the future of our society. In this course, you will learn how to use data and analytics to give an edge to your career and your life. We will examine real world examples of how analytics have been used to significantly improve a business or industry. These examples include Moneyball, eHarmony, the Framingham Heart Study, Twitter, IBM Watson, and Netflix. Through these examples and many more, we will teach you the following analytics methods: linear regression, logistic regression, trees, text analytics, clustering, visualization, and optimization. We will be using the statistical software R to build models and work with data. The contents of this course are essentially the same as those of the corresponding MIT class (The Analytics Edge). It is a challenging class, but it will enable you to apply analytics to real-world applications.The class will consist of lecture videos, which are broken into small pieces, usually between 4 and 8 minutes each. After each lecture piece, we will ask you a ""quick question"" to assess your understanding of the material. There will also be a recitation, in which one of the teaching assistants will go over the methods introduced with a new example and data set. Each week will have a homework assignment that involves working in R or LibreOffice with various data sets. (R is a free statistical and computing software environment we'll use in the course. See the Software FAQ below for more info). At the end of the class there will be a final exam, which will be similar to the homework assignments. Data Analysis & Statistics"
5,Marketing Analytics: Marketing Measurement Strategy,"University of California, Berkeley",intermediate,https://www.edx.org/course/marketing-analytics-marketing-measurement-strategy,This course is part of a MicroMasters® Program,"Begin your journey in a new career in marketing analytics. Learn about powerful strategies and methodology, starting with identifying market trends and metrics used to measure marketing success.In this marketing course, you will learn how to execute market sizing, identify market trends, and predict future conditions.This course is taught by Stephan Sorger who has held leadership roles in marketing and product development at companies such as Oracle, 3Com and NASA. He has also taught for over a decade at UC Berkeley Extension and is the author of two widely adopted marketing textbooks. This course will equip you with the knowledge and skills necessary to immediately see practical benefits in the workplace.Analytics-based marketing is increasingly important in determining a company’s spending and ROI. Many entry-level positions in marketing now require some basic level of knowledge in this rapidly growing field. Computer Science"
6,Introduction to Project Management,University of Adelaide,beginner,https://www.edx.org/course/introduction-to-project-management,Learn the principles of project management and apply them in your own work and life.,"Project management is an essential skill-set for many careers and in many contexts in our lives. Introduction to Project Management is an ideal starting point if you need to manage projects at work or at home, while not necessarily being a formally trained project manager. It is also suitable if you are considering undertaking a project in the near future and are seeking to learn and apply essential project management knowledge and skills.To deliver a project successfully, it’s important to start by clearly identifying what the project is, and what its outcomes will be. In the course, we will show you practical ways to explore and understand your goals from the outset of your project, and to consider all the factors that may affect its execution. Step by step you will learn how to plan, scope, schedule, cost and manage your project from beginning to end. Since every project relies on the people who are delivering it, the course also enables you to explore how you can effectively communicate, manage people and employ leadership skills to successfully deliver your own project.In Introduction to Project Management, you will learn practical ways to use project management skills, whether your project is large or small. Join us to explore how you can benefit from using project management techniques in your own projects. Business & Management"
7,Leading High-Performing Teams,The University of Queensland,beginner,https://www.edx.org/course/leading-high-performing-teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.","This course will blend business theory and real-world insights to teach you the skills you need to better lead people and teams within your organization. Key topics will include motivation, communication, conflict management, team dynamics, and development of a healthy organizational culture.These “people skills” rank among the most challenging competencies for both novice and experienced leaders. This course will challenge you to understand your followers on a deeper level, as well as help you to reflect and improve on your own leadership practice.The course will draw on knowledge from psychology, human resource management, and organizational behavior, as well as the expertise of the management faculty and the The University of Queensland. Through a series of engaging videos, interviews, written reflections, peer feedback, self-insight activities, and simulations, we unpack the ingredients that are critical for developing more effective people and higher performing teams. Communication"
8,The Foundations of Happiness at Work,"University of California, Berkeley",advanced,https://www.edx.org/course/the-foundations-of-happiness-at-work,Learn why happiness at work matters and how to increase it within yourself and across your organization.,"This course explains what happiness at work looks like, why it matters, and how to cultivate it.It begins by defining happiness and making the case that happiness at work improves the performance of individual employees and organizations as a whole, increasing innovation, productivity, engagement, retention, and the quality of their work. It then explores the key factors that empirical research has linked to workplace happiness, zeroing in on practices such as gratitude, developing a strong sense of purpose, and forming authentic, cooperative connections with others. The course will also highlight common barriers to workplace happiness, both at the individual and cultural level.Finally, the course presents a practical framework for workplace happiness and explores accessible techniques for: a) evaluating happiness in an organization, b) creating an effective strategy to increase workplace happiness, and c) implementing that strategy in your own work life, within your team, or across the culture of your organization, with special tips for workplace leaders.The course instructors are expert faculty from UC Berkeley’s Greater Good Science Center, Dacher Keltner, Ph.D., and Emiliana Simon-Thomas, Ph.D., whose earlier edX course, The Science of Happiness, has been a global phenomenon, introducing a half million students worldwide to the research-based keys to a happy, meaningful life. In this course, they tailor their scientific insights to the needs of the modern workplace. Business & Management"
9,"Managing Study, Stress and Mental Health at University",Curtin University,beginner,https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers,"Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.","This short course is a German-Australian collaboration developed in response to the growing need to provide students with the knowledge, skills, and understanding to recognise, identify and respond to mental health challenges in themselves and others. The course is primarily for university students and those working in the tertiary education and local community sectors.We are grateful to the following organisations for their contribution to and continued support of this MOOC:In this course, you will: Health & Safety"
10,Six Sigma: Define and Measure,Technische Universität München,advanced,https://www.edx.org/course/six-sigma-define-and-measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.","Understand the background and meaning of Six Sigma and the five steps of the DMAIC process improvement flow: Define, Measure, Analyze, Improve and Control. Discuss what ""Quality"" means and how to identify the Voice of the Customer.You will learn how to set an improvement project goal, calculate process yield, and identify Critical-to-Quality parameters.You will learn how to map a process and to use the necessary statistical techniques to establish the baseline performance of a process and to calculate the process capability.To complement the lectures, we provide interactive exercises, which allow learners to see the statistics ""in action."" Learners then master the statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam. Business & Management"
11,Fat Chance: Probability from the Ground Up,Harvard University,beginner,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. In Modules 1 and 2, you will be introduced to basic counting skills that you will build upon throughout the course. In Module 3, you will apply those skills to simple problems in probability. In Modules 4 through 6, you will explore how those ideas and techniques can be adapted to answer a greater range of probability problems. Lastly, in Module 7, you will be introduced to statistics through the notion of expected value, variance, and the normal distribution. You will see how to use these ideas to approximate probabilities in situations where it is difficult to calculate their exact values. Math"
12,Chasing your Dream: How to End Procrastination and Get a Job You Love,National Research Nuclear University,intermediate,https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.","Do you love your job, do you wake up every morning all eager about it? Are you ready to do what you have chosen for the rest of your life? When you are off the chosen track, are you impatient to snap into action immediately to start working more effectively and overcome the difficulties? Is your life full of purpose, are you of any use to other people? If your answer to all the above questions is ""Yes"" then congratulations, you're doing great! However, most people share at least some level of insecurity about their work and their future. If that sounds more like you, here's a follow-up question: have you done anything to change it? Or are you planning to put up with that for the time being? This course is for those who may feel a little stuck in their careers. It draws from academic teachings in motivation and positive psychology from universities like Harvard andMoscow State University and combines those with cultural studies from Tibet. You'll learn how to resist procrastination and engage a process of self-determination. You'll find ways to contend with the ""bumps"" that prevent us from moving in the direction. This course can't promise a magic pill, butit will offer the tools for solvingkey problems thatcan hinder self-fulfillment. You willgain the basic skills of self-development, explore some well-considered hypotheses of future development, and build the toolsyou'll need to follow your passion and succeed. Communication"
13,English Grammar and Style,The University of Queensland,beginner,https://www.edx.org/course/english-grammar-and-style,Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,"With the rise of social media and the Internet, many people are writing more today for different mediums than ever before. We'll present materials that cover grammatical principles, word usage, writing style, sentence and paragraph structure, and punctuation. We'll introduce you to some marvelous resources that we have annotated for your guidance. We'll show you video clips of interviews conducted with distinguished grammarians, challenge you with quizzes and writing activities that will give you strategies to help you to build skills that will enhance the quality of your writing, and invite you to participate in discussions and assess the work of your peers. Humanities"
14,Ethics in Action,SDG Academy,advanced,https://www.edx.org/course/ethics-in-action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,"The challenges of sustainable development are more than technical or political--they are also moral, calling on us to examine who we are as human beings, and who we want to be going forward. This examination of what makes a ""good person""--called virtue ethics--has long been the purview of philosophers and theologians. So what do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across creeds and cultures? And what role do ethics, spirituality, and religious communities have to play in sustainable development? In 2016, distinguished leaders from the world's major religious traditions, philosophers, scholars, and scientists were invited by Pope Francis to the Vatican for a series of meetings. Known as the Ethics in Action initiative, these meetings sought to promote dialogue and find consensus about the values needed to advance transformative action for our common home and the human family. This course features Ethics in Action meeting participants, as well as other leading voices, and discusses the perspectives of some of the world's great traditions and their role in addressing our world's most pressing challenges, including poverty, corruption, and climate change. It presents multi-faith cooperation as essential for achieving sustainable development, and calls for the development of a new shared virtue ethics to bring us all into a sustainable and peaceful future. This course is for:  Ethics"
15,Introduction to FinTech,University of Hong Kong,intermediate,https://www.edx.org/course/introduction-to-fintech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance."," Over the past decade emerging technologies, paired with massive changes in regulations, have driven an unprecedented transformation of finance around the world. This process is happening more rapidly in China and Asia than anywhere else. This course is designed to explore FinTech fundamentals and help make sense of this wave of change as it happens.New players such as start-ups and technology firms are challenging traditional players in finance, bringing democratization, inclusion and disruption. Companies engaged in social media, e-commerce, and telecommunications, as well as, companies and start-ups with large customer data pools, creative energies, and technical capacities, have brought competition to the existing financial infrastructure and are remaking the industry.These transformations have not only created challenges but also unprecedented opportunities, building synergies with new business and regulatory models, particularly in emerging markets and developing countries. To meet these changes, 21st-century professionals and students must be equipped with up-to-date knowledge of the industry and its incredible evolution. This course - designed by HKU with the support of SuperCharger and the Centre for Finance, Technology and Education - is designed to enable learners with the necessary tools to understand the complex interaction of finance, technology and regulation.In this course, through a series of video lectures, case studies, and assessments you will explore the major areas of FinTech including, beginning with What is FinTech before turning to Money, Payment and Emerging Technologies, Digital Finance and Alternative Finance, FinTech Regulation and RegTech, Data and Security, and the Future of Data Driven Finance, as well as, the core technologies driving FinTech including Blockchain, AI and Big Data. These will set the stage for understanding the FinTech landscape and ecosystem and grappling with the potential direction of future change.**** Economics & Finance"
16,Data Science: R Basics,Harvard University,intermediate,https://www.edx.org/course/data-science-r-basics,"Build a foundation in R and learn how to wrangle, analyze, and visualize data.","The first in our Professional Certificate Program in Data Science, this course will introduce you to the basics of R programming. You can better retain R when you learn it to solve a specific problem, so you'll use a real-world dataset about crime in the United States. You will learn the R skills needed to answer essential questions about differences in crime across the different states. We'll cover R's functions and data types, then tackle how to operate on vectors and when to use advanced functions like sorting. You'll learn how to apply general programming features like ""if-else,"" and ""for loop"" commands, and how to wrangle, analyze and visualize data. Rather than covering every R skill you might need, you'll build a strong foundation to prepare you for the more in-depth courses later in the series, where we cover concepts like probability, inference, regression, and machine learning. We help you develop a skill set that includes R programming, data wrangling with dplyr, data visualization with ggplot2, file organization with UNIX/Linux, version control with git and GitHub, and reproducible document preparation with RStudio. The demand for skilled data science practitioners is rapidly growing, and this series prepares you to tackle real-world data analysis challenges. Data Analysis & Statistics"
17,Python Basics for Data Science,IBM,advanced,https://www.edx.org/course/python-basics-for-data-science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!","Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this Beginner course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about: Data Analysis & Statistics"
18,The Science of Beer,Wageningen University & Research,intermediate,https://www.edx.org/course/the-science-of-beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health."," Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?In this course, you will learn all about beer, including how it's made, the raw materials used, it's supply chain, how it's marketed and the effect of beer consumption on your body.After this course, tasting a beer will be an entirely new sensation: you will enjoy it even more since you will better understand what's inside your drink. Not to mention, to be a responsible drinker it is important to know what effects beer has on your health. You will gain a natural view on this, allowing you to form your own well-grounded opinion.This MOOC is developed by students of Wageningen University & Research in honour of the 100 year anniversary of the university. The students have received guidance from professors and experts in the field of food production, health risks, marketing, logistics and sustainable supply chains to ensure a high-quality learning experience for everyone. In this MOOC your teachers will truly be your peers!So, are you interested in the science behind your beer? Register for this course now! Food & Nutrition"
19,Strategic Social Media Marketing,Boston University,beginner,https://www.edx.org/course/strategic-social-media-marketing,Learn how to drive social media engagement by linking strategy and tactics and measuring results.,"Social media technologies are continuously transforming the ways consumers interact with each other and firms. These changes constitute a fundamental shift in the marketplace--consumers have greater opportunities to voice their opinions and connect with their peers as well as increased influence over marketers and brands. In this course, part of the Digital Product Management MicroMasters program, we examine how organizations capitalize on social media and consumer-to-consumer interactions to support their marketing efforts. We view these issues from a strategic and a practical perspective, rather than a technical or platform perspective. We will give you the knowledge you need to create engaging content for platforms such as Facebook, Instagram, Twitter, and Snapchat and how to identify influencers, deliver content to a targeted audience, and measure the success of your efforts. Understanding social media is crucial for product managers who will be operating in a digital environment. Product managers will learn how to use social media conversations to inform their decision-making and how to leverage social media to promote their products, services and the brand. Additionally, learners will gain an understanding of how social media can be used to achieve specific organizational objectives and to measure the effectiveness of those efforts. Business & Management"
20,CS50's Introduction to Artificial Intelligence with Python,Harvard University,advanced,https://www.edx.org/course/cs50s-introduction-to-artificial-intelligence-with-python,Learn to use machine learning in Python in this Beginner course on artificial intelligence.,"AI is transforming how we live, work, and play. By enabling new technologies like self-driving cars and recommendation systems or improving old ones like medical diagnostics and search engines, the demand for expertise in AI and machine learning is growing rapidly. This course will enable you to take the first step toward solving important real-world problems and future-proofing your career.CS50’s Introduction to Artificial Intelligence with Python explores the concepts and algorithms at the foundation of modern artificial intelligence, diving into the ideas that give rise to technologies like game-playing engines, handwriting recognition, and machine translation. Through hands-on projects, students gain exposure to the theory behind graph search algorithms, classification, optimization, reinforcement learning, and other topics in artificial intelligence and machine learning as they incorporate them into their own Python programs. By course’s end, students emerge with experience in libraries for machine learning as well as knowledge of artificial intelligence principles that enable them to design intelligent systems of their own.Enroll now to gain expertise in one of the fastest-growing domains of computer science from the creators of one of the most popular computer science courses ever, CS50. You’ll learn the theoretical frameworks that enable these new technologies while gaining practical experience in how to apply these powerful techniques in your work. Computer Science"
21,Rhetoric: The Art of Persuasive Writing and Public Speaking,Harvard University,advanced,https://www.edx.org/course/rhetoric-art-of-persuasive-writing-public-speaking,Gain critical communication skills in writing and public speaking with this introduction to American political rhetoric.,"We are living in a contentious time in history. Fundamental disagreements on critical policy, economic, and political issues make it essential to learn how to compose an effectiveargument and to analyze the arguments of others. This ability will help you engage in civil discourse and make needed changes in society. Conveying a convincing message can benefit your personal, public, and professional lives.This course is an introduction to the theory and practice of rhetoric, the art of persuasive writing and speech. In it, you will learn to construct and defend compelling arguments, a crucial skill in many settings. We will be using selected speeches from prominent twentieth-century Americans -- including Martin Luther King Jr., John F. Kennedy, Margaret Chase Smith, Ronald Reagan, and more -- to explore and analyze rhetorical structure and style. Through this analysis, you will learn how speakers and writers persuade an audience to adopt their point of view.Built around Harvard Professor James Engell's on-campus course, ""Elements of Rhetoric,"" this course will help you analyze and apply rhetorical structure and style, appreciate the relevance of persuasive communication in your own life, and understand how to persuade and recognize when someone is trying to persuade you. You will be inspired to share your viewpoint and discover the most powerful ways to convince others to champion your cause. Join us to find your voice! Humanities"
22,CS50's Web Programming with Python and JavaScript,Harvard University,advanced,https://www.edx.org/course/cs50s-web-programming-with-python-and-javascript,"This course picks up where CS50 leaves off, diving more deeply into the design and implementation of web apps with Python, JavaScript, and SQL using frameworks like Django, React, and Bootstrap.","Topics include database design, scalability, security, and user experience. Through hands-on projects, you'll learn to write and use APIs, create interactive UIs, and leverage cloud services like GitHub and Heroku. By course's end, you'll emerge with knowledge and experience in principles, languages, and tools that empower you to design and deploy applications on the Internet. Computer Science"
23,Contract Law: From Trust to Promise to Contract,Harvard University,beginner,https://www.edx.org/course/contract-law-from-trust-to-promise-to-contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?","Learn about contracts from Harvard Law Professor Charles Fried, one of the world's leading authorities on contract law. Contracts are promises that the law will enforce. But when will the law refuse to honor a promise? What happens when one party does not hold to their part of the deal? This version of the course adds new units on Interpretation, Agency, Partnerships, Corporations, and Government Regulation.We are exposed to contracts in all areas of our life -- agreeing to terms when downloading a new computer program, hiring a contractor to repair a leaking roof, and even ordering a meal at a restaurant. Knowing the principles of contracts is not just a skill needed by lawyers, it illuminates for everyone a crucial institution that we use all the time and generally take for granted.This contract law course, with new materials and updated case examples, is designed to introduce the range of issues that arise when entering and enforcing contracts. It will provide an introduction to what a contract is and also analyze the purpose and significance of contracts. Then, it will discuss the intent to create legal relations, legality and morality, and the distinction between gifts and bargains. The course also investigates common pitfalls: one-sided promises, mistake, fraud, and frustration. With the knowledge of what makes contracts and how they can go wrong, Professor Fried will discuss remedies and specific performance. Finally, Professor Fried will introduce how contracts can create rights for third parties.The course's instructor, Charles Fried, has been teaching at Harvard Law School for more than 50 years and has written extensively on contracts. Not only is Professor Fried a leading authority on contract law, but he also utilizes a story-telling approach to explaining the topic, which creates a unique and interesting class experience. Business & Management"
24,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",Harvard University,intermediate,https://www.edx.org/course/fundamentals-of-neuroscience-part-1-the-electrical,Learn how electricity makes the neurons in your brain tick.,"Fundamentals of Neuroscience is a three-courseseries that explores the structure and function of the nervous system—from the inner workings of a single nerve cell to the staggering complexity of the brain and the social interactions they enable. In this first course, you'll learn how individual neurons use electricity to transmit information. You'll build a neuron, piece by piece, using interactive simulations, then travel around Harvard's campus, where you'll see the inner workings of a lab and learn how to conduct DIY neuroscience experiments on your own. Join us as we study the electrical properties in individual neurons, building a foundation for understanding the function of the entire nervous system. Biology & Life Sciences"
25,Justice,Harvard University,beginner,https://www.edx.org/course/justice-2,This introduction to moral and political philosophy is one of the most popular courses taught at Harvard College.,"Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics include affirmative action, income distribution, same-sex marriage, the role of markets, debates about rights (human rights and property rights), arguments for and against equality, dilemmas of loyalty in public and private life. The course invites learners to subject their own views on these controversies to critical examination.The principal readings for the course are texts by Aristotle, John Locke, Immanuel Kant, John Stuart Mill, and John Rawls. Other assigned readings include writings by contemporary philosophers, court cases, and articles about political controversies that raise philosophical questions. Humanities"
26,Data Science: Machine Learning,Harvard University,advanced,https://www.edx.org/course/data-science-machine-learning,Build a movie recommendation system and learn the science behind one of the most popular and successful data science techniques.,"Perhaps the most popular data science methodologies come from machine learning. What distinguishes machine learning from other computer guided decision processes is that it builds prediction algorithms using data. Some of the most popular products that use machine learning include the handwriting readers implemented by the postal service, speech recognition, movie recommendation systems, and spam detectors. In this course,part ofourProfessional Certificate Program in Data Science, you will learn popular machine learning algorithms, principal component analysis, and regularization by building a movie recommendation system. You will learn about training data, and how to use a set of data to discover potentially predictive relationships. As you build the movie recommendation system, you will learn how to train algorithms using training data so you can predict the outcome for future datasets. You will also learn about overtraining and techniques to avoid it such as cross-validation. All of these skills are fundamental to machine learning. Data Analysis & Statistics"
27,Child Protection: Children's Rights in Theory and Practice,Harvard University,advanced,https://www.edx.org/course/child-protection-childrens-rights-in-theory-and-pr,"Learn how to protect children from violence, exploitation, and neglect through law, policy, and practice in a human rights framework.","Across the world, children are at riskfrom violence, abuse, exploitation, and neglect. Conflict and natural disasters have forced millions to flee their homes and confront the dangers of migration and displacement. Commercial sexual exploitation and trafficking, child labor, and child marriage are problems in many countries. At-risk children and adolescents need their rights enforcedif we are to protect them from harm and to ensure that they develop to their full potential. Led by Jacqueline Bhabha, Research Director of the Harvard FXB Center for Health and Human Rights, this course will teach you the causes and consequences of child protection failures. You will consider the strategies, international laws, standards, and resources required to protect all children. You will be able to link legal frameworks and child-rights approaches to the work of policymakers, lawyers, health workers, educators, law enforcement, and social workers. Learners will come to understand how they can ensure the protection of children and apply child protection strategies to their own work. Join Harvard faculty, practitioners, and a global community of learners to master a child-centered systems approach to preventing and responding to violence, exploitation, and abuse against children. Social Sciences"
28,IELTS Academic Test Preparation,The University of Queensland,beginner,https://www.edx.org/course/ielts-academic-test-preparation,"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.","IELTS is the world's most popular English language test for those wanting to study in higher education in an English-speaking country.This IELTS course will prepare you to take the IELTS Academic tests with confidence. You will have immediate access to over 80 hours of interactive practice materials covering each of the four skills: listening, speaking, reading and writing.This innovative preparation course has been designed and written by experienced English teaching professionals from The University of Queensland, an IELTS testing centre and one of the world's leading centres of learning. All of the course writers have extensive experience enabling students to reach their academic IELTS goal of entering a university where English is the primary language.Each section of this course includes engaging multi-media presentations reviewing key test-taking skills, strategies and techniques. These are accompanied by a wide variety of authentic IELTS-style exercises and interactive activities that provide focused practice of the skills, strategies and techniques that you need to perform at your best.In the new release of this IELTS preparation course, you will find a number of enhancements to an already-successful formula. The course appears with new videos and improvements to the explanation of answers as well as a number of new and engaging practice activities. Significantly, we have responded to requests from existing users to offer more comprehensive feedback on your writing using several new features.As the course is self-paced, you can complete all of the course units in sequence, or only select the areas you want to focus on to prepare for the IELTS Academic tests. In completing this course, you will feel fully prepared to complete the IELTS Academic tests.Students who select Verified enrolment in this course will have access to additional materials provided by the IELTSx course team. Communication"
