id,Name,University,level,Link,About
984,Ultimate Investment Banking Course,Udemy,intermediate,https://www.udemy.com/ultimate-investment-banking-course/,Business Finance
985,Complete GST Course & Certification - Grow Your CA Practice,Udemy,intermediate,https://www.udemy.com/goods-and-services-tax/,Business Finance
986,Financial Modeling for Business Analysts and Consultants,Udemy,intermediate,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,Business Finance
987,Beginner to Pro - Financial Analysis in Excel 2017,Udemy,intermediate,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,Business Finance
988,How To Maximize Your Profits Trading Options,Udemy,intermediate,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,Business Finance
989,Trading Penny Stocks: A Guide for All Levels In 2017,Udemy,intermediate,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,Business Finance
990,Investing And Trading For Beginners: Mastering Price Charts,Udemy,beginner,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,Business Finance
991,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Udemy,intermediate,https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,Business Finance
992,Options Trading 3 : Advanced Stock Profit and Success Method,Udemy,advanced,https://www.udemy.com/day-trading-stock-options-3/,Business Finance
993,The Only Investment Strategy You Need For Your Retirement,Udemy,intermediate,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,Business Finance
994,Forex Trading Secrets of the Pros With Amazon's AWS,Udemy,intermediate,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,Business Finance
995,Trading Options With Money Flow,Udemy,intermediate,https://www.udemy.com/trading-options-using-money-flow/,Business Finance
996,Financial Management Risk and Return For Securities,Udemy,intermediate,https://www.udemy.com/risk-and-return-finance/,Business Finance
997,Forex Trading Course: Work Smarter Not Harder Proven Results,Udemy,intermediate,https://www.udemy.com/the-complete-trading-course/,Business Finance
998,Python Algo Trading: Sentiment Trading with News,Udemy,intermediate,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,Business Finance
999,Short Selling: Learn To Sell Stocks Before The Fall,Udemy,intermediate,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,Business Finance
1000,Basic Technical Analysis: Learn the structure of the market,Udemy,beginner,https://www.udemy.com/learn-basic-technical-analysis/,Business Finance
1001,The Complete Chart Pattern Trading Course: A Proven Approach,Udemy,intermediate,https://www.udemy.com/make-money-trading-stocks-from-home/,Business Finance
1002,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Udemy,intermediate,https://www.udemy.com/7-deadly-mistakes-of-investing/,Business Finance
1003,Financial Statements Made Easy,Udemy,beginner,https://www.udemy.com/intro-to-financial-statements-for-entrepreneurs/,Business Finance
1004,Winning Forex Trading with Live Forex Trading Examples,Udemy,intermediate,https://www.udemy.com/forexmacross/,Business Finance
